0,1,2,3,filename,width,height
1,1,1,0,data/kaggle_dir/images/maksssksksss514.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss266.png,301.0,400.0
0,1,0,0,data/kaggle_dir/images/maksssksksss716.png,301.0,400.0
1,0,0,0,data/kaggle_dir/images/maksssksksss689.png,560.0,315.0
1,0,0,0,data/kaggle_dir/images/maksssksksss138.png,400.0,267.0
1,1,0,0,data/kaggle_dir/images/maksssksksss104.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss676.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss448.png,400.0,216.0
1,1,0,0,data/kaggle_dir/images/maksssksksss34.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss474.png,400.0,267.0
1,1,0,0,data/kaggle_dir/images/maksssksksss475.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss313.png,400.0,400.0
1,0,0,0,data/kaggle_dir/images/maksssksksss35.png,400.0,255.0
1,1,0,0,data/kaggle_dir/images/maksssksksss21.png,400.0,227.0
1,0,0,0,data/kaggle_dir/images/maksssksksss677.png,400.0,300.0
1,0,0,0,data/kaggle_dir/images/maksssksksss105.png,400.0,267.0
1,1,1,0,data/kaggle_dir/images/maksssksksss139.png,400.0,225.0
1,0,0,0,data/kaggle_dir/images/maksssksksss688.png,400.0,277.0
1,1,1,0,data/kaggle_dir/images/maksssksksss717.png,510.0,287.0
1,0,0,0,data/kaggle_dir/images/maksssksksss501.png,400.0,255.0
1,0,0,0,data/kaggle_dir/images/maksssksksss273.png,301.0,400.0
1,0,0,0,data/kaggle_dir/images/maksssksksss298.png,400.0,282.0
1,0,0,0,data/kaggle_dir/images/maksssksksss265.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss517.png,400.0,267.0
0,1,0,0,data/kaggle_dir/images/maksssksksss701.png,301.0,400.0
1,1,0,0,data/kaggle_dir/images/maksssksksss715.png,267.0,400.0
1,0,0,0,data/kaggle_dir/images/maksssksksss846.png,400.0,226.0
1,0,0,0,data/kaggle_dir/images/maksssksksss675.png,301.0,400.0
1,1,0,0,data/kaggle_dir/images/maksssksksss113.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss488.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss23.png,400.0,299.0
1,0,0,0,data/kaggle_dir/images/maksssksksss311.png,400.0,258.0
1,1,0,0,data/kaggle_dir/images/maksssksksss477.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss462.png,268.0,400.0
1,1,0,0,data/kaggle_dir/images/maksssksksss310.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss22.png,400.0,268.0
1,0,0,0,data/kaggle_dir/images/maksssksksss36.png,400.0,225.0
1,1,0,0,data/kaggle_dir/images/maksssksksss489.png,400.0,211.0
0,0,1,0,data/kaggle_dir/images/maksssksksss112.png,267.0,400.0
1,0,0,0,data/kaggle_dir/images/maksssksksss648.png,400.0,267.0
1,1,1,0,data/kaggle_dir/images/maksssksksss847.png,400.0,226.0
1,0,0,0,data/kaggle_dir/images/maksssksksss700.png,225.0,400.0
1,0,1,0,data/kaggle_dir/images/maksssksksss728.png,400.0,266.0
1,0,0,0,data/kaggle_dir/images/maksssksksss264.png,400.0,267.0
1,1,0,0,data/kaggle_dir/images/maksssksksss502.png,400.0,225.0
0,0,1,0,data/kaggle_dir/images/maksssksksss258.png,280.0,400.0
1,0,0,0,data/kaggle_dir/images/maksssksksss260.png,400.0,300.0
1,0,0,0,data/kaggle_dir/images/maksssksksss512.png,400.0,280.0
0,1,0,0,data/kaggle_dir/images/maksssksksss248.png,301.0,400.0
1,0,0,0,data/kaggle_dir/images/maksssksksss738.png,400.0,267.0
1,0,0,0,data/kaggle_dir/images/maksssksksss116.png,400.0,225.0
1,0,0,0,data/kaggle_dir/images/maksssksksss664.png,259.0,400.0
1,1,0,0,data/kaggle_dir/images/maksssksksss499.png,400.0,226.0
1,0,0,0,data/kaggle_dir/images/maksssksksss472.png,400.0,300.0
1,0,0,0,data/kaggle_dir/images/maksssksksss300.png,301.0,400.0
1,0,0,0,data/kaggle_dir/images/maksssksksss32.png,400.0,225.0
1,0,0,0,data/kaggle_dir/images/maksssksksss26.png,400.0,400.0
1,0,0,0,data/kaggle_dir/images/maksssksksss33.png,250.0,400.0
1,1,1,0,data/kaggle_dir/images/maksssksksss467.png,400.0,290.0
